Year,Artist,Title,Category,Award
2022,Leif Ove Andsnes,"DVOŘÁK: POETIC TONE PICTURES, OP.85",Klassisk,Nei
2022,Sound Stories,Il Villaggio,Åpen Klasse,Nei
2022,Daniel Herskedal / Emilie Nicolas,Out of the Fog,Alternativ pop/rock,Nei
2022,Eirik Hegdal,Eirik Hegdal,TONOs komponistpris,Nei
2022,Kurt Slevigen og Arne Fjeld Rasmussen,Paying Homage To The Blues,Blues,Nei
2022,Erlend Viken Trio,Fete slåtta,Tradisjonsmusikk,Nei
2022,Akselsen/Kvernberg/Carstensen,Horta,Tradisjonsmusikk,Nei
2022,Trondheim Jazzorkester & GURLS,Oui,Jazz,Ja
2022,Ingvild Flottorp,I Just Wanna Know It All,Country,Nei
2022,Trond Granlund,Sanger jeg lærte av Jokke,Viser og visepop,Nei
2022,Trond Svendsen & Tuxedos,Don't Trust the Moon,Country,Nei
2022,Ensemble Allegria,Britten/Hagen/Strauss,Klassisk,Nei
2022,Billy T Band,Hi Paradise,Blues,Nei
2022,Matias Téllez,Matias Téllez,Årets Produsent,Nei
2022,The Good The Bad and The Zugly,Research and Destroy,Rock,Nei
2022,Wako,Ut av det nye,Jazz,Nei
2022,Synne Vo,Synne Vo,Årets Låtskriver,Nei
2022,Vidar Villa,Vidar Villa (2022),Festmusikk,Nei
2022,Moskus,Papirfuglen,Jazz,Nei
2022,Moddi,Bråtebrann,Viser og visepop,Ja
2022,Musti,Ugbad,Hiphop,Nei
2022,Jon Balke,Siwan - Hafla,Åpen Klasse,Nei
2022,Julie Alapnes,Helleristning,Tradisjonsmusikk,Nei
2022,Aslak Brimi,Teleskopter,Barnemusikk,Nei
2022,Tyr,TyrTape,Hiphop,Nei
2022,Odd Nordstoga,Inn i skogen,Viser og visepop,Nei
2022,Odd Nordstoga,Odd Nordstoga,Årets Tekstforfatter,Nei
2022,Ramón,SÅ KLART DET GJØR VONDT,Årets Musikkvideo,Ja
2022,Ida Løvli Hidle,Skumring,Samtid,Nei
2022,SALTI,Demons,Årets Musikkvideo,Nei
2022,Ledfoot,Coffin Nails,Blues,Ja
2022,Truls Mørk / Håvard Gimse,"Bridge, Britten, Debussy: Cello Sonatas",Klassisk,Nei
2022,Vilde Frang,Vilde Frang 2022,Klassisk,Ja
2022,PACIFY,PACIFY (Ardijan Sopi),Årets Produsent,Nei
2022,Charlotte Dos Santos,Morfo,Rnb/Soul,Ja
2022,Jonas Benyoub,Jonas Benyoub 2022,Hiphop,Ja
2022,Madrugada,Madrugada 2022,Rock,Nei
2022,Aurora,A Temporary High,Årets Musikkvideo,Nei
2022,AURORA og Magnus Skylstad,AURORA og Magnus Skylstad,Årets Produsent,Nei
2022,Ingrid Jasmin,Luna,Åpen Klasse,Ja
2022,Honningbarna,Animorphs,Rock,Ja
2022,Honningbarna,Animorphs,Årets utgivelse,Nei
2022,Honningbarna,Honningbarna,TONOs komponistpris,Nei
2022,Anna of the North,Crazy Life,Pop,Nei
2022,Jerry Folk,Castle Tapes,Elektronika,Nei
2022,Beharie,"Beharie, the Third",Rnb/Soul,Nei
2022,Kampfar,Til Klovers Takt,Metal,Ja
2022,Trondheim Symfoniorkester & Opera / Marianne Baudouin Lie og Kai Grinde Myrann,Jon Øivind Ness: Marmæle/Mørkgånga,Samtid,Nei
2022,Inger Hannisdal,,TONOs komponistpris,Ja
2022,AURORA,The Gods We Can Touch,Pop,Nei
2022,Beathoven,Beathoven 2022,Festmusikk,Ja
2022,Jenny Hval,Classic Objects,Alternativ pop/rock,Nei
2022,UNDERGRUNN,Undergrunn,Hiphop,Nei
2022,UNDERGRUNN,UNDERGRUNN,Årets utgivelse,Nei
2022,Mandarinsaft,Puteslott,Barnemusikk,Nei
2022,Ingeborg Oktober,2018,Viser og visepop,Nei
2022,Undergrunn,"Undergrunn: Jon Ranes, Jo Almaas Marstein, Gabriel Doria, Patrick Levent Bakkeng, Marcos de Medina-Rosales Haugestad og Sverre Skogheim Gudmestad",Årets Låtskriver,Nei
2022,ARY,For Evig,Elektronika,Ja
2022,WIZRD,Seasons,Rock,Nei
2022,Aksel Axxe Carlson og Thomas Meyer Kongshavn,Aksel Axxe Carlson og Thomas Meyer Kongshavn,Årets Produsent,Ja
2022,Karpe,Omar Sheriff,Pop,Ja
2022,Karpe,Omar Sheriff,Årets utgivelse,Ja
2022,Anja Lauvdal,From a Story Now Lost,Åpen Klasse,Nei
2022,Karpe,Karpe,Årets Tekstforfatter,Ja
2022,Karpe,Karpe,Årets Låtskriver,Ja
2022,Sondre Justad,En anna mæ,Pop,Nei
2022,André Bratten,Picture Music,Elektronika,Nei
2022,Karpe,PAF.no,Årets Musikkvideo,Nei
2022,Rotlaus,Rotlaus,Festmusikk,Nei
2022,Lasse Marhaug,Context,Samtid,Nei
2022,Fredrik Høyer,Baksaas + Høyer,Årets Tekstforfatter,Nei
2022,Khold,Svartsyn,Metal,Nei
2022,UNDERGRUNN,Presentert av Music Nest Norway,Årets gjennombrudd,Ja
2022,Ballinciaga,Presentert av Music Nest Norway,Årets gjennombrudd,Nei
2022,Ramón,Presentert av Music Nest Norway,Årets gjennombrudd,Nei
2022,Jonas Benyoub,Presentert av Music Nest Norway,Årets gjennombrudd,Nei
2022,Amanda Tenfjord,Presentert av Music Nest Norway,Årets gjennombrudd,Nei
2022,Daniel Herskedal,,Årets Internasjonale suksess,Nei
2022,Peder Elias,,Årets Internasjonale suksess,Ja
2022,Sigrid,,Årets Internasjonale suksess,Nei
2022,Kristine Tjøgersen,,Årets Internasjonale suksess,Nei
2022,Ballinciaga / David Mokel,Dans på bordet,Årets låt,Nei
2022,Ramón,Ok jeg lover,Årets låt,Nei
2022,UNDERGRUNN,Italia,Årets låt,Nei
2022,vinni,glorie,Årets låt,Nei
2022,Beathoven / Capow x 2g,Sør-Afrika,Årets låt,Nei
2022,Karpe,PAF.no,Årets låt,Ja
2022,Lillebjørn Nilsen,,Årets Hederspris,Ja
2022,Karpe,,Årets Spellemann,Ja
2021,Cashmere Cat,,Årets internasjonale suksess,Nei
2021,Anne Judith Stokke Wik,,Årets internasjonale suksess,Nei
2021,Aurora,,Årets internasjonale suksess,Ja
2021,Bendik Giske,,Årets internasjonale suksess,Nei
2021,Christine Sandtorv,Stjernteller - Automagisk,Barnemusikk,Ja
2021,Du og jeg og vi 2-3-4,Balkongfest,Barnemusikk,Nei
2021,Tone Hulbækmo,Eg kan,Barnemusikk,Nei
2021,Heidi Solheim,En Meter Fra,Barnemusikk,Nei
2021,Ledfoot,Black Valley,Blues,Nei
2021,Norsk Utflukt,Heder & Verdighet,Blues,Nei
2021,Adam Douglas,Better Angels,Blues,Ja
2021,Vidar Busk & His True Believers,The Civilized Life,Blues,Nei
2021,Hayde Bluegrass Orchestra,Migrants,Country,Nei
2021,Hellbillies,Blå dag,Country,Nei
2021,Ole Kirkeng,Rocking Chair,Country,Ja
2021,Johan Berggren,Ei hytte foran loven,Country,Nei
2021,Jerry Folk,Dotted Red,Elektronika,Nei
2021,Smerz,Believer,Elektronika,Nei
2021,Vilde Tuv,Melting Songs,Elektronika,Ja
2021,Bendik HK,Progressive Rock Music,Elektronika,Nei
2021,Marja Mortensson & Kringkastingsorkesteret,Raajroe - The Reindeer Caravan,Tradisjonsmusikk,Ja
2021,Sarah-Jane Summers & Juhani Silvola,The Smoky Smirr o Rain,Tradisjonsmusikk,Nei
2021,Synnøve Brøndbo Plassen,Hjemve - Slåttetralling fra Folldal,Tradisjonsmusikk,Nei
2021,Thov G. Wetterhus,Stålslått,Tradisjonsmusikk,Nei
2021,girl in red,if I could make it go quiet,Alternativ pop/rock,Nei
